,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,param_max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
56,1.369251585006714,0.3505620478227361,0.002760028839111328,0.0003980480427733356,0.1,"(50,)",1500,"{'alpha': 0.1, 'hidden_layer_sizes': (50,), 'max_iter': 1500}",0.5415959252971138,0.5619694397283531,0.5874363327674024,0.5178268251273345,0.5076400679117148,0.5432937181663837,0.02905161240911026,64
57,3.538045120239258,0.6337411567508141,0.0048296451568603516,0.0012235063444801602,0.1,"(100, 50)",500,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 50), 'max_iter': 500}",0.5551782682512734,0.5568760611205433,0.5823429541595926,0.5568760611205433,0.533106960950764,0.5568760611205433,0.01559753355226602,13
58,4.402765274047852,0.31737008430650676,0.010434436798095702,0.0125769768307906,0.1,"(100, 50)",1000,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 50), 'max_iter': 1000}",0.5551782682512734,0.5568760611205433,0.5823429541595926,0.5568760611205433,0.533106960950764,0.5568760611205433,0.01559753355226602,13
59,4.293995332717896,0.7114940269425682,0.006574678421020508,0.004086788592551967,0.1,"(100, 50)",1500,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 50), 'max_iter': 1500}",0.5551782682512734,0.5568760611205433,0.5823429541595926,0.5568760611205433,0.533106960950764,0.5568760611205433,0.01559753355226602,13
60,8.621983098983765,1.5157686268526849,0.009692764282226563,0.004703213752883526,0.1,"(100, 100, 100)",500,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 500}",0.5382003395585738,0.5772495755517827,0.5857385398981324,0.5517826825127334,0.5144312393887945,0.5534804753820034,0.02594902977866595,31
61,7.40808744430542,1.5220901247522731,0.005930662155151367,0.001438856855738343,0.1,"(100, 100, 100)",1000,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1000}",0.5382003395585738,0.5772495755517827,0.5857385398981324,0.5517826825127334,0.5144312393887945,0.5534804753820034,0.02594902977866595,31
62,6.807533502578735,1.350781743298469,0.004845666885375977,0.0005155375694574035,0.1,"(100, 100, 100)",1500,"{'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100), 'max_iter': 1500}",0.5382003395585738,0.5772495755517827,0.5857385398981324,0.5517826825127334,0.5144312393887945,0.5534804753820034,0.02594902977866595,31
63,3.064003086090088,0.9292406724978172,0.003926515579223633,0.0002097958322605742,0.1,"(50, 50, 50)",500,"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 500}",0.5415959252971138,0.5483870967741935,0.5925297113752123,0.5398981324278438,0.5314091680814941,0.5507640067911714,0.021571993445526114,46
64,2.9925307273864745,0.8798920391176246,0.0038625240325927735,0.0006906243058141389,0.1,"(50, 50, 50)",1000,"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1000}",0.5415959252971138,0.5483870967741935,0.5925297113752123,0.5398981324278438,0.5314091680814941,0.5507640067911714,0.021571993445526114,46
65,3.1994420528411864,0.9943584616009878,0.004464054107666015,0.0009547693712834962,0.1,"(50, 50, 50)",1500,"{'alpha': 0.1, 'hidden_layer_sizes': (50, 50, 50), 'max_iter': 1500}",0.5415959252971138,0.5483870967741935,0.5925297113752123,0.5398981324278438,0.5314091680814941,0.5507640067911714,0.021571993445526114,46
66,6.110723161697388,1.0505985883979652,0.006066656112670899,0.0018855117592641896,0.1,"(50, 100, 50)",500,"{'alpha': 0.1, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 500}",0.5534804753820034,0.5365025466893039,0.568760611205433,0.5466893039049237,0.5127334465195246,0.5436332767402376,0.01867263441068597,61
67,5.307690382003784,0.886396286560393,0.007843494415283203,0.0009744320691597979,0.1,"(50, 100, 50)",1000,"{'alpha': 0.1, 'hidden_layer_sizes': (50, 100, 50), 'max_iter': 1000}",0.5534804753820034,0.5365025466893039,0.568760611205433,0.5466893039049237,0.5127334465195246,0.5436332767402376,0.01867263441068597,61
