,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
34,0.2101966381072998,0.0055022387079156675,0.013480806350708007,0.004002382373632068,3,4,100,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 100}",0.5806451612903226,0.6027164685908319,0.5891341256366723,0.5534804753820034,0.5636672325976231,0.5779286926994907,0.017598177955653577,19
35,0.4208662509918213,0.0073984408873546525,0.02296910285949707,0.0027270720564433137,3,4,200,"{'max_depth': 3, 'max_features': 4, 'n_estimators': 200}",0.5789473684210527,0.6027164685908319,0.5908319185059423,0.5551782682512734,0.565365025466893,0.5786078098471987,0.01705922809790217,18
36,0.03163433074951172,0.00657204888582179,0.0030127525329589843,0.0037160486321992487,3,5,10,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 10}",0.5789473684210527,0.5959252971137521,0.5959252971137521,0.5483870967741935,0.567062818336163,0.5772495755517827,0.01809563680064411,23
37,0.22779226303100586,0.005910401996365394,0.012939643859863282,0.0017600635773891372,3,5,100,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 100}",0.5789473684210527,0.6027164685908319,0.5908319185059423,0.5517826825127334,0.5636672325976231,0.5775891341256367,0.018266862691086964,22
38,0.44527764320373536,0.0075286928127879715,0.02319626808166504,0.005106615740082756,3,5,200,"{'max_depth': 3, 'max_features': 5, 'n_estimators': 200}",0.5738539898132428,0.6061120543293718,0.5891341256366723,0.5517826825127334,0.5636672325976231,0.5769100169779287,0.019069773965499442,26
39,0.026270151138305664,0.001876487448493136,0.0032201290130615236,0.0023037917656322376,3,6,10,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 10}",0.5772495755517827,0.597623089983022,0.5891341256366723,0.5534804753820034,0.567062818336163,0.5769100169779288,0.01564919337426541,24
40,0.23387980461120605,0.0036668366509256607,0.012436294555664062,0.0011571488441258061,3,6,100,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 100}",0.5789473684210527,0.597623089983022,0.5857385398981324,0.5534804753820034,0.5619694397283531,0.5755517826825127,0.015962864887664727,32
41,0.4735044002532959,0.014654114504950608,0.026289033889770507,0.0037231623771798697,3,6,200,"{'max_depth': 3, 'max_features': 6, 'n_estimators': 200}",0.5789473684210527,0.597623089983022,0.5874363327674024,0.5534804753820034,0.5636672325976231,0.5762308998302207,0.01591222344836669,28
42,0.029622840881347656,0.0014871180655609882,0.003297901153564453,0.0033164962677121696,3,7,10,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 10}",0.5789473684210527,0.597623089983022,0.5806451612903226,0.5534804753820034,0.5568760611205433,0.5735144312393887,0.016369400058667494,40
43,0.2444763660430908,0.0037605422436277117,0.01289815902709961,0.0023957281259571342,3,7,100,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 100}",0.5772495755517827,0.599320882852292,0.5857385398981324,0.5534804753820034,0.5636672325976231,0.5758913412563668,0.01612098807534019,29
44,0.49340176582336426,0.012542655633305432,0.02132587432861328,0.002311793796227174,3,7,200,"{'max_depth': 3, 'max_features': 7, 'n_estimators': 200}",0.5755517826825127,0.6044142614601019,0.5823429541595926,0.5517826825127334,0.5636672325976231,0.5755517826825127,0.01780660183650514,32
45,0.03375568389892578,0.006564657890116974,0.0038095951080322266,0.0005449336184972892,3,8,10,"{'max_depth': 3, 'max_features': 8, 'n_estimators': 10}",0.5721561969439728,0.5942275042444821,0.5772495755517827,0.5517826825127334,0.5483870967741935,0.568760611205433,0.01694393881137473,50
46,0.2545433044433594,0.004574564563498661,0.014885616302490235,0.003860156635582342,3,8,100,"{'max_depth': 3, 'max_features': 8, 'n_estimators': 100}",0.567062818336163,0.601018675721562,0.5806451612903226,0.5178268251273345,0.5365025466893039,0.5606112054329371,0.029958227504397677,70
47,0.5107264518737793,0.006942712181446814,0.02458953857421875,0.002722560401466567,3,8,200,"{'max_depth': 3, 'max_features': 8, 'n_estimators': 200}",0.5738539898132428,0.599320882852292,0.5806451612903226,0.5500848896434635,0.533106960950764,0.5674023769100169,0.0232888668244241,53
48,0.02113332748413086,0.003060938885042605,0.004936313629150391,0.003064353629561412,5,1,10,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 10}",0.5466893039049237,0.5891341256366723,0.5721561969439728,0.5517826825127334,0.5585738539898133,0.563667232597623,0.015336624503410804,62
49,0.19142799377441405,0.0021718832997315966,0.01434788703918457,0.002390666967259281,5,1,100,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 100}",0.567062818336163,0.5908319185059423,0.5874363327674024,0.5466893039049237,0.5619694397283531,0.5707979626485569,0.016439685483069878,47
50,0.3841846942901611,0.003708136053623633,0.026281452178955077,0.0033133424632487197,5,1,200,"{'max_depth': 5, 'max_features': 1, 'n_estimators': 200}",0.568760611205433,0.5942275042444821,0.5840407470288624,0.5432937181663837,0.5738539898132428,0.5728353140916808,0.017167028400359278,43
51,0.024206876754760742,0.0037011909687099304,0.0029326915740966798,0.003200208220840168,5,2,10,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 10}",0.565365025466893,0.5772495755517827,0.5959252971137521,0.5500848896434635,0.5704584040747029,0.5718166383701189,0.015009871718370347,44
52,0.2126392364501953,0.006214364767466881,0.014651823043823241,0.002969785769914664,5,2,100,"{'max_depth': 5, 'max_features': 2, 'n_estimators': 100}",0.5772495755517827,0.6044142614601019,0.597623089983022,0.5602716468590832,0.5789473684210527,0.5837011884550084,0.01572269867951136,5
